site,I(NEE;VPD)13,I(NEE;T)13,I(NEE;u)13,I(NEE;R)13,I(NEE;C13),I(LH;VPD)13,I(LH;T)13,I(LH;u)13,I(LH;R)13,I(LH;C13),U(NEE;C13),S(NEE;C13),R(NEE;C13),U+S(NEE;C13),U(LH;C13),S(LH;C13),R(LH;C13),U+S(LH;C13),I(NEE;VPD)2,I(NEE;T)2,I(NEE;u)2,I(NEE;R)2,I(NEE;H2),I(LH;VPD)2,I(LH;T)2,I(LH;u)2,I(LH;R)2,I(LH;H2),U(NEE;H2),S(NEE;H2),R(NEE;H2),U+S(NEE;H2),U(LH;H2),S(LH;H2),R(LH;H2),U+S(LH;H2),I(NEE;VPD)dx,I(NEE;T)dx,I(NEE;u)dx,I(NEE;R)dx,I(NEE;dEx),I(LH;VPD)dx,I(LH;T)dx,I(LH;u)dx,I(LH;R)dx,I(LH;dEx),U(NEE;dEx),S(NEE;dEx),R(NEE;dEx),U+S(NEE;dEx),U(LH;dEx),S(LH;dEx),R(LH;dEx),U+S(LH;dEx)
DSNY,0.14366723637003803,0.12547854095294214,0.0428316498044134,0.2811123596155501,0.038567773924353586,0.31841196072712225,0.41781288262388877,0.03131256735525369,0.5271171297796304,0.045799980794223524,0.030937187266001025,0.03195917862145524,0.0006034937431436316,0.06289636588745633,0.03719949500359181,0.027282901341297877,0.001112371229955476,0.06448239634488974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRSM,0.10586098447868915,0.2815542030492752,0.12298769656410119,0.3824303664728855,0.030400983670961782,0.31430281584172326,0.558769611907121,0.10369661218222494,0.8078671114962752,0.020511068616073814,0.02497155333323281,0.025700080870387325,0.00017818755264848574,0.050671634203620156,0.015911254893437293,0.02136287330293896,0.000259142636413133,0.03727412819637624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUAN,0.06959916121731564,0.2930862838251007,0.030307041749517486,0.024748291323500343,0.04327321413286406,0.021273694390569763,0.2805936983575947,0.026291158513403193,0.1692341945901318,0.06762462952848212,0.034379185366751525,0.030475068055059534,0.0007059790078031386,0.06485425342181102,0.057221863232234216,0.043270839166858435,0.0006847826335602013,0.10049270239909265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARV,0.30534257820899835,0.4022551440652457,0.07119517917437178,0.554676873692812,0.0673322156236036,0.5056892423305864,0.5279112289814657,0.06052401749485771,0.7862606680322537,0.0848405658510948,0.05689953825964852,0.02249049774827779,0.0037275456026755636,0.07939003600792627,0.07162996603022607,0.03173411959308286,0.00790080417904945,0.1033640856233088,0.19641612426241506,0.2549594838415463,0.07124478913506721,0.21477072468986114,0.0898172704810718,0.3847091950201636,0.45333579255354123,0.0571172322846661,0.3344194929986342,0.11049423598669633,0.07136760171428845,0.018498968522591554,0.008614958273313862,0.08986657023687993,0.08500518905677261,0.028399903292138477,0.01835905253195041,0.11340509234891114,0.1258442016489967,0.21358316210354591,0.06015224572305144,0.15106908273646882,0.05236193283747348,0.29829767999199974,0.43864285743057124,0.03932693293259669,0.264274842497852,0.05017405302114262,0.04397137697801012,0.015601513158051142,0.0006056629264304533,0.059572890136061304,0.041544588563004275,0.012800124781926076,0.0011684625616661067,0.054344713344930365
HEAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JERC,0.21777622232841853,0.07730818757141378,0.0331635721297833,0.41940301825372744,0.034393359241024074,0.43934169997798733,0.3372249082197242,0.055213994645280096,0.9732175059750546,0.0382285449345613,0.02880118759100215,0.015891454494196402,0.0004983390141883033,0.04469264208519854,0.030858379550469467,0.019390646726723804,0.001140532780821059,0.050249026277193264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JORN,0.040501472335766946,0.0635942308684053,0.07638863418198283,0.03680612785222912,0.031131995055729632,0.04605049835813748,0.14252072330502485,0.029835328402436904,0.0776325228929137,0.2917748812499591,0.02462212085370504,0.03304636985207077,0.00048337721861608986,0.05766849070577578,0.2704056656331183,0.05177476055319482,0.0025625914360293814,0.3221804261863134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KONA,0.05582771809089955,0.10566380877404888,0.03432109587457069,0.08448991548932336,0.0908564909714468,0.32309397215247915,0.35104418872249704,0.038226605308550675,0.5656515176827792,0.1666658654819061,0.07420073569463122,0.028649977245875372,0.006514448276676287,0.10285071294050664,0.08609330000215908,0.013600327621922674,0.05519499855190206,0.09969362762408174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KONZ,0.058874269521120445,0.09512890927301774,0.046897137245934986,0.25589173993072023,0.09308544673292155,0.28481953871325744,0.42992373967287933,0.021627947571226422,0.7987833798789262,0.19043290439823393,0.07595151926590846,0.015325803017540041,0.0075759518899006124,0.09127732228344848,0.14165753451459331,0.013532762574559291,0.03458066368031429,0.15519029708915288,0.11834507766663901,0.16297696585246008,0.0503516877141758,0.10543550360271153,0.07133434687958617,0.39905354120871,0.47754603678980523,0.03996535811339175,0.3627288165713903,0.12027800196046409,0.055214019498019434,0.01582793157745493,0.003999056199315203,0.07104195107547434,0.07918266256815877,0.013315558117953371,0.027772710471199922,0.09249822068611208,0.10320846976259765,0.1425002272736656,0.04057675435010597,0.0778795318029174,0.06003413914397308,0.3596061920248068,0.4365134264914641,0.034557895137583686,0.33726340802944,0.03840935909371853,0.04994251388173594,0.025526507902414362,0.0005652711253727859,0.07546902178415038,0.03253420942095353,0.02844778901118701,0.000417167924838,0.06098199843214053
LAJA,0.15034819547999262,0.15243628315167876,0.10688165723903663,0.22091552754985597,0.04656324301225743,0.129590962744303,0.09982207331565184,0.043811927450291464,0.43022253457256676,0.039959913490008034,0.037189042806731895,0.030929490160195725,0.0006445587668480914,0.06811853296692773,0.03156025181681439,0.035731961417576306,0.00047160625135078357,0.06729221323439073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LENO,0.04441366831602514,0.05365874348170958,0.052634462035592106,0.09526821090745761,0.08566506146287785,0.22992786505519533,0.3814513530882064,0.1577844314844887,0.8069206868085681,0.10376922135725102,0.07137194319757001,0.029643205588304838,0.0008774741223690882,0.10101514878587489,0.07879153755842219,0.020012328527142315,0.009330178424958738,0.09880386608556452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLBS,0.030993013883118814,0.1379820743079891,0.025671315098605582,0.08992478853209267,0.06070236517753258,0.2348499857841042,0.29222049822780666,0.040014318325629745,0.4427194622774726,0.06948144134093645,0.051335785719021546,0.012960504604811348,0.0015299711970675168,0.06429629032383287,0.053580850792931733,0.0111906388448192,0.004246055517330276,0.06477148963775091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIWO,,,,,,,,,,,,,,,,,,,0.10245983620921505,0.19451142140249789,0.07489322019613928,0.07230184762144469,0.10775421748723152,0.22135600753386916,0.2114473970479002,0.037943573385426164,0.2673325040677454,0.10537002362722986,0.0697885050720226,0.006897755743311146,0.01855874093970113,0.07668626081533374,0.06709767758975378,0.01590563550302576,0.019756103194767637,0.08300331309277963,0.08805532155052148,0.18456481228320062,0.07173809996445893,0.07272653076266339,0.03807276889791621,0.21572829582557068,0.21148634268117206,0.033820869057587286,0.30174139605996797,0.05872628727934983,0.029689560489038903,0.023707376970799665,0.0005494755928440702,0.05339693745983863,0.04616605020180032,0.019911867901503507,0.001397759385958455,0.06607791810330385
NOGP,0.07876761049804937,0.07274495342656012,0.02288142139471698,0.1574654161874897,0.04728757624420752,0.15490973323363144,0.37836094024587397,0.028559904370130812,0.51885094751086,0.1331116515572555,0.03608761185957436,0.02048508165013171,0.0023527559289283355,0.05657269350970609,0.08586992269046417,0.013215548244398549,0.03125884806499341,0.09908547093486254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OAES,0.0458519591006282,0.07381273296643313,0.025742354026579334,0.16907125729490008,0.09766050040430482,0.10722702071218404,0.2568523102283327,0.027075960556664738,0.4200868120595872,0.2276833815530767,0.07944452855042788,0.024220261542881337,0.009683362075089718,0.1036647900933094,0.152638281296288,0.01204224110785907,0.05595198625643063,0.1646805224041472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONAQ,,,,,,,,,,,,,,,,,,,0.07893913161003151,0.07309757293017578,0.03527511553078168,0.037898421788620754,0.048815106330576265,0.10428243598031937,0.1423128515352576,0.055816418081440104,0.14511328712257054,0.1279110910025009,0.04130971939148937,0.033216496057180876,0.0011136366181641528,0.0745262154486702,0.09891815565288876,0.009624286053611007,0.015056836510705501,0.10854244170649971,0.06942092972314337,0.06578542525501763,0.03977777708462109,0.036236952046258195,0.04259103719785897,0.10329208842433615,0.1517618338736865,0.054346035656505906,0.14261385489380582,0.08330908219477318,0.038163986479921266,0.037150519743571246,0.0008581325202183693,0.07531450622349259,0.0659784866730902,0.011870255898378607,0.005588154083794904,0.07784874257146879
ORNL,0.2502738414421495,0.42102206113174556,0.07332839767499823,0.38061757030854804,0.1376559420527169,0.4983555102797053,0.5189436278825664,0.0657872786658551,0.8324812753505448,0.12689054630715002,0.10253419782750388,0.010034769508077104,0.021814149375032427,0.11256896733558083,0.08908094346670256,0.010338746267583937,0.023579230234520226,0.0994196897342864,0.15083635355457464,0.21928602759930904,0.028932495965466747,0.19495289026609391,0.07600331916766498,0.34043207588595514,0.33912171195060864,0.04115140583300099,0.4429568522606576,0.08560750780581627,0.05948327457870572,0.024409046111386307,0.003024775842499777,0.0838923206900921,0.06439547811631172,0.02313397045265999,0.012084181712717417,0.08752944856897175,0.12239630908926008,0.21073448644629927,0.029030011441927957,0.1341980647353922,0.06463846459792816,0.2527612924528675,0.22265891303291158,0.0314250598634628,0.3763078030865057,0.07453909283366393,0.051807328274875074,0.025549020946659978,0.0011904794490410783,0.07735634922153513,0.06066727048848955,0.009763225000235359,0.006743931683320822,0.07043049548872488
OSBS,0.10662030714227316,0.081648548420092,0.041124460919238784,0.24874486845513935,0.0371851016660162,0.18559179180672028,0.42196440265312,0.026752013780366252,0.548710542706026,0.11324202598407715,0.028947474744761403,0.041301550229322075,0.0007141883652903728,0.07024902497408349,0.0844887265678182,0.013191276377896901,0.014809172535502653,0.09768000294571497,0.07100084342568437,0.04217453451417825,0.029549435054869646,0.19742533363483974,0.03461960351610159,0.36563315163336335,0.4006727919117725,0.03577598970811452,0.8009806135901466,0.04049180483615674,0.025876733684706492,0.03226646222522411,0.0003162374604460345,0.058143195909930605,0.03240275843659093,0.02488679241783641,0.0005266449200132179,0.05728955085442722,,,,,,,,,,,,,,,,,,
PUUM,0.06533170976046478,0.04736714614856109,0.03128868105611899,0.16292105362791826,0.033291521030514845,0.056134136282912035,0.10993446275122494,0.03138362342473002,0.2183984205282479,0.035463923261199154,0.027022194086660147,0.031189988963524325,0.0002070660943523479,0.058212183050184524,0.029165610637269638,0.033599107491236124,0.0002258756857511999,0.06276471812850574,0.037001884207735855,0.05155197489275205,0.0332223536835228,0.09066656100416505,0.027311568489121175,0.09461294284517532,0.13797779929143889,0.025904396931313245,0.1906549895124252,0.024489648232448036,0.02189774248660062,0.03343723010870781,0.0001615712724861236,0.05533497259530849,0.018256139962800892,0.0380029139581654,0.00013519556087705445,0.05625905392096623,0.04095427544860701,0.04844281719286022,0.03837571728756623,0.0845952604973961,0.014955137063940423,0.10111751361838604,0.15371823889231268,0.0204203824556389,0.17613000463833747,0.103554611566923,0.012303716897631262,0.03707752194825618,0.00037553525775688666,0.04938123884588745,0.08243349579541427,0.006509395425802409,0.011908891923033925,0.08894289122121662
RMNP,0.05352891840500065,0.1315180892847653,0.049135523049430516,0.09646321624593927,0.045586076584487004,0.15569583564610656,0.32078289636979906,0.03350350553110596,0.24748694387108167,0.07172590868268816,0.035721373982007386,0.02758448651500747,0.00044694797477950766,0.06330586049701474,0.05975167271523503,0.02999863082175253,0.0009502235520666367,0.0897503035369876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCBI,0.2346704345626765,0.31702136593298214,0.06018293314113335,0.5122654464409453,0.15657490917522404,0.30405271917251486,0.3385192831824361,0.050765080776944,0.5117347780031692,0.10730384323238848,0.11772728995555017,0.010643432762449978,0.022839307134124173,0.12837072271800015,0.07808135402369153,0.009333342303807859,0.017571913342085486,0.08741469632749936,0.17296414763550352,0.16830397330256486,0.043761918835180165,0.2722406810662652,0.04945323923841396,0.15349143446912555,0.2875860745322909,0.03791436944414452,0.37681357886099315,0.04831431925036496,0.03891068738656842,0.02364414770638884,0.0010031187261691126,0.06255483509295724,0.03928530573271954,0.026602321606370022,0.0009159536460470746,0.06588762733908965,0.14053295260618226,0.15615316969195597,0.038854413047310306,0.21978102030684202,0.09195173568539612,0.09926064587649809,0.22180237947399367,0.029817105385720747,0.37037356852002223,0.0455681868686351,0.07735967698043049,0.019612974303994127,0.0014620795241524136,0.09697265128442462,0.038525130938141576,0.043568645927450134,0.0003648860732530735,0.0820937768655917
SERC,0.26412107823841674,0.34377994694020936,0.19329021872571645,0.424987360145406,0.10192396852548567,0.4901882775921413,0.49783317405191285,0.2186858351174979,0.6460207640593902,0.11493896257513991,0.06993162458141489,0.008038103084064803,0.016410863645273537,0.07796972766547974,0.07673341278798279,0.009181596158683991,0.023636010622428955,0.08591500894666675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJER,0.11244289231482382,0.104264116095599,0.06782149388292194,0.07842690988747825,0.06727141044858524,0.05180308936658309,0.052623985654835885,0.09195225414634302,0.1364606849270703,0.05024198921938186,0.05431807986864599,0.019792837444806193,0.002842224160709247,0.07411091731345212,0.04581181942236032,0.05169021642393278,0.0018151561135421206,0.097502035846293,0.13930475122013194,0.14154202218176498,0.11657026122954252,0.09291364577990345,0.04867069814224793,0.07983698101785464,0.08426978951950058,0.052017321611813966,0.16485756726599157,0.03670770412370286,0.0388030991829197,0.024622348681832672,0.0005860577521051333,0.06342544786475235,0.030672144666568913,0.032129794834295095,0.0004087805048569185,0.06280193950086395,0.15612827033984628,0.1561095708293602,0.13736288994833534,0.11555462484473628,0.04421631245563427,0.07953701224745287,0.08954373331943256,0.05532290134666784,0.15578663933185516,0.06539078326072759,0.034756523662097756,0.02465017073388631,0.0005225122250730049,0.05940669439598408,0.05681238356709025,0.03092430346844974,0.0007417838650126564,0.08773668703553998
SOAP,0.1275815007059332,0.21976831855941875,0.19437382168877054,0.41804353170538616,0.07716895904338493,0.13798281471514875,0.21352330706876355,0.32419917291042727,0.9391531129766196,0.04812013052727397,0.07787135365365784,0.03499032757108492,0.0005026498968560265,0.11286168122474284,0.044753598129085435,0.04544675354419883,0.0002876564103117811,0.09020035167328419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRER,0.04348897065080756,0.04554332865848084,0.029296411970609188,0.032179990029047964,0.06523187686823148,0.06332331337760987,0.30763442245241523,0.05307589366731599,0.17959722576857098,0.3140875420400316,0.055952371825709765,0.03394287168469812,0.0012552539920214663,0.08989524351040787,0.2565824093040205,0.01449380055970296,0.041591699877588637,0.2710762098637238,0.11363112613420966,0.09443743153268831,0.03637270382925075,0.05329184415134833,0.04917378173038605,0.08614702300179956,0.07322363374259601,0.03269198639474409,0.06843690459587046,0.08260320770934822,0.04025485448488239,0.030281264029721967,0.000581296652484673,0.07053611851460444,0.07734970739289543,0.03389033669587758,0.0009671255167199353,0.11124004408877286,0.12419368773817849,0.1103737626068971,0.03381708681500977,0.04411721786324355,0.0745482804320217,0.09538844266201976,0.06818435600896101,0.020019253185287744,0.04053719486914517,0.05052153294289007,0.06473865914212606,0.01899279188916685,0.0007277152818685234,0.08373145103129295,0.04461485553699908,0.020875885566312084,0.000461456449439439,0.0654907411033112
STEI,0.24159916249617,0.2835063374153619,0.0725877856212411,0.3481709692033233,0.05297917635215444,0.46311030689383675,0.45932665169828796,0.06962227324020095,0.615717994945478,0.07935734008122998,0.041491855352265995,0.016360342947018488,0.002811156434470837,0.05785219829928443,0.06343239486994919,0.012893778800613103,0.006593377424574331,0.07632617367056226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STER,0.04634853834190744,0.07960645098133196,0.03260474438908784,0.07943786042370216,0.06648214657183539,0.11745171630102448,0.27980436212654536,0.029993939723285467,0.3465315205454055,0.22072123889767822,0.04891924058405926,0.01695915096365969,0.006021105659438101,0.06587839154771893,0.1259575725403422,0.01378616638626216,0.07217767636356152,0.1397437389266044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TALL,0.2010761847365166,0.0396496623775177,0.03847524489664204,0.4148730994764837,0.04660570904354652,0.400936860138955,0.34804229946610443,0.0703801972465908,0.8324580750212924,0.08522317998752393,0.03685631221676277,0.02528081716452407,0.001159938570075919,0.062137129381286814,0.06871636437523033,0.020092043952597987,0.005195112661069432,0.08880840832782834,0.1791060146208807,0.049449163505629994,0.04002334435809554,0.39911885281713044,0.029620721218645268,0.5009866532855005,0.3881839214806807,0.09433563583935756,0.763314920979894,0.06211330827592757,0.025282737848516253,0.045468324926967,0.0004889623602169145,0.07075106277548329,0.051426292368597096,0.04320186622323599,0.0025371343626224632,0.09462815859183293,0.15915568194598717,0.05554585862304091,0.031873124444755555,0.43045876956651363,0.045020090238482496,0.5093461339921145,0.37045323534068153,0.05726230038405751,0.8016438450455532,0.0643267968192613,0.0365597916241643,0.025186889433718804,0.0005413473692221085,0.061746681057883106,0.05394030920195673,0.02929723035093338,0.0016015557205478763,0.08323753955289001
TEAK,0.09415267010289122,0.17012600506337056,0.14181822080947853,0.2024191699745823,0.07510549951922102,0.2542398116077219,0.4216154182023738,0.35675426098795604,0.6938515092870478,0.10159528262555075,0.062070625166561394,0.025496288830859082,0.0008164918709572064,0.08756691399742063,0.08920427138244796,0.05636384684618948,0.0014786555856926723,0.14556811822863738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOOL,,,,,,,,,,,,,,,,,,,0.11429031449221848,0.29622678345262726,0.038775750663482086,0.05843474683619045,0.18435046157523952,0.26185215165878867,0.3455610932704482,0.05040948889285326,0.09217163414449271,0.18974587477464516,0.1384130884843914,0.027031666648178125,0.027474766368272896,0.1654447551325697,0.13510290506265255,0.009738273556713542,0.03367302329152735,0.14484117861936588,0.13776260696787918,0.3400821609582337,0.037908825090894126,0.05467378749839023,0.06692595036374348,0.2920436014296757,0.33560810990757833,0.05306496502508265,0.0933199036674732,0.045722815464150676,0.0561181512097434,0.0319521217042709,0.0005016593483816016,0.08807027291401437,0.04093484955014956,0.029118849843495994,0.00044246076919762653,0.07005369939364559
TREE,0.21761360955096462,0.25744562005362726,0.0842390497748494,0.28646907947148625,0.09706693327089766,0.5312432164649064,0.5463938188587313,0.06847266361961964,0.49578517096901364,0.08756000609966531,0.07523071351149013,0.009183884227192641,0.008919825355135028,0.0844145977386827,0.06455121100662999,0.009094014561104601,0.011481473056641038,0.07364522556773456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKFS,0.06341607084530304,0.13582616967327166,0.03805157987710594,0.25723505747761316,0.05856612544671447,0.44752050964142565,0.5786214762463301,0.02591455958766956,0.6300780388169174,0.1200852028713949,0.046536504645936415,0.018524795953918406,0.0032707039077770985,0.06506130059985478,0.08671641672154182,0.013347677951276333,0.022704285902984712,0.1000640946728181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNDE,0.21343686443355428,0.3391327033082783,0.05247655526001263,0.48192144592362784,0.11890791483684868,0.4168843943106632,0.5073704429239714,0.04481941239137607,0.7093140060294938,0.11033095367474283,0.08945044431975667,0.009147298066239588,0.01707215251038358,0.09859774238599621,0.07855059106484101,0.009221173624766077,0.019556086807306076,0.08777176468960711,0.25477107560177786,0.27103079479388353,0.07027709372966866,0.20652831613307357,0.1339850899550928,0.5362895458394574,0.6258815772705465,0.06789940023185355,0.34746905380838844,0.22771580653880222,0.08204356582866146,0.007207481945912139,0.03610047739014984,0.08925104777457343,0.14199497305184647,0.012684418610144738,0.0672330423604276,0.15467939166199113,0.20221845305592587,0.2075076438000782,0.04834531429426086,0.13606795385998502,0.052441740459023264,0.4656579330303267,0.5454307336651343,0.04612167362248157,0.26104183926700414,0.0716297067854139,0.04350171064453633,0.019994334345839946,0.0015031102401660357,0.06349604499037625,0.05793326543056654,0.01907010195140412,0.0038954153953593474,0.07700336738197074
