date,ABBY,BARR,BART,BLAN,BONA,CLBJ,CPER,DCFS,DEJU,DELA,DSNY,GRSM,GUAN,HARV,HEAL,JERC,JORN,KONA,KONZ,LAJA,LENO,MLBS,MOAB,NIWO,NOGP,OAES,ONAQ,ORNL,OSBS,PUUM,RMNP,SCBI,SERC,SJER,SOAP,SRER,STEI,STER,TALL,TEAK,TOOL,TREE,UKFS,UNDE,WOOD,WREF,YELL
2021-12-13,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-50.8361509902994,-162.191910716688,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-21.7074106477674,-122.86271555729,-9999.0,-9999.0,-9999.0,-9999.0,-75.8448113321786,-9999.0,-9999.0,-9999.0,-9999.0,-307.195325150966,-9999.0,-9999.0,-9999.0,-45.9491788955295,-35.9830089196958,-9999.0,-9999.0,-110.098675057035,-9999.0,-168.910838482805,-9999.0,-111.753930481558,-9999.0,-9999.0,-57.6543868152027,-9999.0,-9999.0,-9999.0,-9999.0,-201.530750045766,-110.175821264688,-188.730468946233,-266.156377913356
2021-12-14,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-54.1162437273965,-217.615360198486,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-25.7547500061696,-152.766565860159,-9999.0,-9999.0,-9999.0,-9999.0,-50.7582739501015,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-129.841277381708,-39.6865219941287,-9999.0,-9999.0,-151.930950475516,-9999.0,-168.419383584352,-9999.0,-170.677849449697,-9999.0,-9999.0,-39.6660642080889,-9999.0,-9999.0,-9999.0,-9999.0,-66.3330058490254,-84.4164489886802,-153.132275871506,-252.679866071589
2021-12-15,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-61.2712012784219,-221.172535130511,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-26.0991118620363,-135.808296347493,-9999.0,-9999.0,-9999.0,-9999.0,-59.8183060250449,-9999.0,-9999.0,-9999.0,-9999.0,-223.006551972791,-9999.0,-9999.0,-9999.0,-135.77878036728,-62.711492669993,-9999.0,-9999.0,-47.816272488875,-9999.0,-133.42048047971,-9999.0,-108.621653733256,-9999.0,-9999.0,-64.8811121641793,-9999.0,-9999.0,-9999.0,-9999.0,-41.6353317453312,-257.181607321648,-190.384873168334,-324.755135301723
2021-12-16,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-34.7610222921612,-278.545719909986,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-57.8809815979425,-52.9893418205053,-9999.0,-9999.0,-9999.0,-9999.0,-182.15641234108,-9999.0,-9999.0,-9999.0,-9999.0,-240.878073136037,-9999.0,-9999.0,-9999.0,-65.2536185633775,-17.569783636275,-9999.0,-9999.0,-58.2613849354862,-9999.0,-42.6603492254651,-9999.0,-105.690849638335,-9999.0,-9999.0,-69.1953459389062,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-252.724587406108,-58.0619580359595,-253.281773110365
2021-12-17,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-32.5188555215098,-236.36576796152,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-67.8401342732687,-148.917878027383,-9999.0,-9999.0,-9999.0,-9999.0,-31.3425114931656,-9999.0,-9999.0,-9999.0,-9999.0,-265.227333828381,-9999.0,-9999.0,-9999.0,-40.8494376425107,-30.3393498609431,-9999.0,-9999.0,-52.5230202058538,-9999.0,-47.7210259421959,-9999.0,-87.3399318729621,-9999.0,-9999.0,-11.1232181852163,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-222.898384083581,-58.179032401455,-284.478047677537
2021-12-18,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-52.8560572100538,-246.065189238458,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-33.7878011027679,-118.900097909075,-9999.0,-9999.0,-9999.0,-9999.0,-112.418448946295,-9999.0,-9999.0,-9999.0,-9999.0,-337.118680863496,-9999.0,-9999.0,-9999.0,-80.8095945556789,-40.089731229191,-9999.0,-9999.0,-46.6727797361396,-9999.0,-72.4773675195739,-9999.0,-44.0555395646392,-9999.0,-9999.0,-63.4862990313092,-9999.0,-9999.0,-9999.0,-9999.0,-159.739142864851,-278.134584757672,-67.2443138442883,-205.711326866023
2021-12-19,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-134.536767722286,-238.758959634842,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-55.7276771431476,-110.395126680017,-9999.0,-9999.0,-9999.0,-9999.0,-166.841050364773,-9999.0,-9999.0,-9999.0,-9999.0,-288.686526749985,-9999.0,-9999.0,-9999.0,-9999.0,-23.7042352424309,-9999.0,-9999.0,-114.138428005961,-9999.0,-80.0981161983684,-9999.0,-352.986536403532,-9999.0,-9999.0,-135.234304061019,-9999.0,-9999.0,-9999.0,-9999.0,-244.794420206376,-225.525978769032,-113.720961051795,-188.300011955777
2021-12-20,-9999.0,-9999.0,-9999.0,-9999.0,-196.232811436275,-75.0161026787346,-194.107441414291,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-65.7210298695632,-47.9433999202555,-9999.0,-9999.0,-9999.0,-9999.0,-166.356618153307,-9999.0,-9999.0,-9999.0,-9999.0,-221.011437670977,-9999.0,-9999.0,-9999.0,-86.188330410895,-61.6363848480968,-9999.0,-9999.0,-110.148450857992,-9999.0,-92.0353350728741,-9999.0,-87.5765114748399,-9999.0,-9999.0,-82.3978416364906,-9999.0,-9999.0,-9999.0,-9999.0,-129.432616133545,-263.21605643442,-254.140958297326,-9999.0
2021-12-21,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-98.0024364337034,-200.060006575492,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-48.5707758254343,-121.664720664698,-9999.0,-9999.0,-9999.0,-9999.0,-150.944860530234,-9999.0,-9999.0,-9999.0,-9999.0,-267.566796771953,-9999.0,-9999.0,-9999.0,-106.612247029927,-73.5755516934466,-9999.0,-9999.0,-99.6087587692296,-9999.0,-70.3390392226117,-9999.0,-101.364149633971,-9999.0,-9999.0,-123.882723876634,-9999.0,-9999.0,-9999.0,-9999.0,-275.758377661958,-285.403611509164,-154.690694195531,-9999.0
2021-12-22,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-51.3495892258798,-290.543089033717,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-47.4138875788783,-20.6130056409171,-9999.0,-9999.0,-9999.0,-9999.0,-62.5115627933488,-9999.0,-9999.0,-9999.0,-9999.0,-276.88166804813,-9999.0,-9999.0,-9999.0,-90.4965739282204,-267.158102649456,-9999.0,-9999.0,-106.898959822252,-9999.0,-82.2047966768683,-9999.0,-125.737896654982,-9999.0,-9999.0,-116.370371227563,-9999.0,-9999.0,-9999.0,-9999.0,-266.486480849679,-265.901010242641,-128.712153189563,-9999.0
2021-12-23,-9999.0,-9999.0,-9999.0,-9999.0,-269.724338855958,-96.8192428152073,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-52.8064415261351,-227.550547620601,-9999.0,-9999.0,-9999.0,-9999.0,-83.1961395196966,-9999.0,-9999.0,-9999.0,-9999.0,-211.287683748645,-9999.0,-9999.0,-9999.0,-68.1198761786242,-52.2486822347652,-9999.0,-9999.0,-129.941691854339,-9999.0,-184.46795127699,-9999.0,-242.416900800635,-9999.0,-9999.0,-72.630566051464,-9999.0,-9999.0,-9999.0,-9999.0,-157.707658432898,-228.669455065475,-135.232363715683,-9999.0
2021-12-24,-9999.0,-9999.0,-9999.0,-9999.0,-271.308081581496,-70.854363985773,-226.868755390385,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-47.3800702989666,-91.5093480588856,-9999.0,-9999.0,-9999.0,-9999.0,-55.4170577268417,-9999.0,-9999.0,-9999.0,-9999.0,-173.037244261151,-9999.0,-9999.0,-9999.0,-59.6445472265639,-49.9801996508719,-9999.0,-9999.0,-147.58501192529,-9999.0,-54.5821073672061,-9999.0,-105.00633335028,-9999.0,-9999.0,-56.990839679992,-9999.0,-9999.0,-9999.0,-9999.0,-103.756456768658,-223.681588693935,-84.8156585641471,-9999.0
